ააგო	ɑ ɑ ɡ ɔ
მაისი	m ɑ i s i
მაისით	m ɑ ɪ s ɪ tʰ
მაისის	m ɑ ɪ s ɪ s
მალავს	m ɑ l ɑ v s
მალე	m ɑ l ɛ
მალულად	m ɑ l u l ɑ d
მამა	m ɑ m ɑ
მამაკაცი	m ɑ m ɑ kʼ ɑ t s i
მამაჩემი	m ɑ m ɑ t ʃ ɛ m ɪ
მამუკა	m ɑ m u kʼ ɑ
მანამდე	m ɑ n ɑ m d ɛ
მანანა	m ɑ n ɑ n ɑ
მანდ	m ɑ n d
მანდარინი	m ɑ n d ɑ r i n i
მანიპულაცია	m ɑ n ɪ pʼ u l ɑ t s ɪ ɑ
მანქანა	m ɑ n kʰ ɑ n ɑ
მანქანას	m ɑ n kʰ ɑ n ɑ s
მანქანები	m ɑ n kʰ ɑ n ɛ b ɪ
მანქანით	m ɑ n kʰ ɑ n ɪ tʰ
მანქანის	m ɑ n kʰ ɑ n ɪ s
მანძილი	m ɑ n d z i l i
მაპატიეთ	m ɑ pʼ ɑ tʼ i ɛ tʰ
მარაგი	m ɑ r ɑ ɡ ɪ
მარადიული	m ɑ r ɑ d ɪ u l ɪ
მარგალიტი	m ɑ r ɡ ɑ l i tʼ i
მარდი	m ɑ r d i
მართა	m ɑ r tʰ ɑ
მართლა	m ɑ r tʰ l ɑ
მართლმადიდებელი	m ɑ r tʰ l m ɑ d i d ɛ b ɛ l i
მარია	m ɑ r ɪ ɑ
მარილი	m ɑ r i l i
მარიონეტი	m ɑ r ɪ ɔ n ɛ tʼ ɪ
მარიხუანა	m ɑ r ɪ χ u ɑ n ɑ
მარტი	m ɑ r tʼ i
მარტივად	m ɑ r tʼ ɪ v ɑ d
მარტივი	m ɑ r tʼ i v i
მარტის	m ɑ r tʼ ɪ s
მარტო	m ɑ r tʼ ɔ
მარტოხელა	m ɑ r tʼ ɔ x ɛ l ɑ
მარტს	m ɑ r tʼ s
მარცხენა	m ɑ r t s x ɛ n ɑ
მარცხნივ	m ɑ r t s χ n ɪ v
მარხვა	m ɑ r x v ɑ
მარჯვენა	m ɑ r d ʒ v ɛ n ɑ
მას	m ɑ s
მასალა	m ɑ s ɑ l ɑ
მასაჟი	m ɑ s ɑ ʒ ɪ
მასიურად	m ɑ s ɪ u r ɑ d
მასიური	m ɑ s i u r i
მასპინძელი	m ɑ s pʼ ɪ n d z ɛ l ɪ
მასშტაბი	m ɑ s ʃ tʼ ɑ b ɪ
მასწავლებელი	m ɑ s t sʼ ɑ v l ɛ b ɛ l i
მატარებელი	m ɑ tʼ ɑ r ɛ b ɛ l i
მატყუარა	m ɑ tʼ qʼ u ɑ r ɑ
მაქვს	m ɑ kʰ v s
მაქსიმალურად	m ɑ kʰ s ɪ m ɑ l u r ɑ d
მაქსიმალური	m ɑ kʰ s ɪ m ɑ l u r ɪ
მაქსიმუმი	m ɑ kʰ s ɪ m u m ɪ
მაღაზია	m ɑ ɣ ɑ z i ɑ
მაღლა	m ɑ ɣ l ɑ
მაშინ	m ɑ ʃ ɪ n
მაშინვე	m ɑ ʃ ɪ n v ɛ
მაცხოვრებელი	m ɑ t s χ ɔ v r ɛ b ɛ l ɪ
მახინჯი	m ɑ x i n d ʒ i
მბრძანებლურად	m b r d z ɑ n ɛ b l u r ɑ d
მგალობლიშვილი	m ɡ ɑ l ɔ b l i ʃ v i l i
მგზავრი	m ɡ z ɑ v r i
მგზავრობა	m ɡ z ɑ v r ɔ b ɑ
მგონი	m ɡ ɔ n i
მგრძნობიარე	m ɡ r d z n ɔ b i ɑ r ɛ
მდგომარეობა	m d ɡ ɔ m ɑ r ɛ ɔ b ɑ
მდებარეობს	m d ɛ b ɑ r ɛ ɔ b s
მდიდრული	m d ɪ d r u l ɪ
მდივანი	m d i v ɑ n i
მეათე	m ɛ ɑ tʰ ɛ
მებაღე	m ɛ b ɑ ɣ ɛ
მეგობრობა	m ɛ ɡ ɔ b r ɔ b ɑ
მეგობრული	m ɛ ɡ ɔ b r u l ɪ
მედალი	m ɛ d ɑ l ɪ
მედიცინა	m ɛ d i t s i n ɑ
მეექვსე	m ɛ ɛ kʰ v s ɛ
მეზობელი	m ɛ z ɔ b ɛ l i
მეზღვაური	m ɛ z ʁ v ɑ u r ɪ
მეთერთმეტე	m ɛ tʰ ɛ r tʰ m ɛ tʼ ɛ
მეთიუ	m ɛ tʰ ɪ u
მეთოდი	m ɛ tʰ ɔ d i
მეთოდური	m ɛ tʰ ɔ d u r ɪ
მეკარე	m ɛ kʼ ɑ r ɛ
მელანი	m ɛ l ɑ n ɪ
მელანქოლიური	m ɛ l ɑ n kʰ ɔ l ɪ u r ɪ
მელია	m ɛ l i ɑ
მელოდია	m ɛ l ɔ d ɪ ɑ
მემამულე	m ɛ m ɑ m u l ɛ
მემარცხენე	m ɛ m ɑ r t s x ɛ n ɛ
მემკვიდრეობით	m ɛ m kʼ v ɪ d r ɛ ɔ b ɪ tʰ
მემკვიდრეობის	m ɛ m kʼ v ɪ d r ɛ ɔ b ɪ s
მემორანდუმი	m ɛ m ɔ r ɑ n d u m ɪ
მენცარი	m ɛ n t s ɑ r ɪ
მეოთხე	m ɛ ɔ tʰ x ɛ
მეორე	m ɛ ɔ r ɛ
მეორედ	m ɛ ɔ r ɛ d
მეპატრონე	m ɛ pʼ ɑ tʼ r ɔ n ɛ
მერე	m ɛ r ɛ
მერვე	m ɛ r v ɛ
მერი	m ɛ r ɪ
მერხი	m ɛ r χ ɪ
მესამედ	m ɛ s ɑ m ɛ d
მესიჯი	m ɛ s ɪ d ʒ ɪ
მეტად	m ɛ tʼ ɑ d
მეტალურგი	m ɛ tʼ ɑ l u r ɡ ɪ
მეტეხი	m ɛ tʼ ɛ χ ɪ
მეტი	m ɛ tʼ i
მეტისმეტად	m ɛ tʼ ɪ s m ɛ tʼ ɑ d
მეტოქე	m ɛ tʼ ɔ kʰ ɛ
მეტრო	m ɛ tʼ r ɔ
მეტყველება	m ɛ tʼ qʼ v ɛ l ɛ b ɑ
მეფედ	m ɛ pʰ ɛ d
მეფუტკრე	m ɛ pʰ u tʼ kʼ r ɛ
მექანიზმი	m ɛ kʰ ɑ n i z m i
მექანიკური	m ɛ kʰ ɑ n i kʼ u r i
მეცნიერება	m ɛ t s n i ɛ r ɛ b ɑ
მეცნიერები	m ɛ t s n ɪ ɛ r ɛ b ɪ
მეცნიერი	m ɛ t s n i ɛ r i
მეცნიერულად	m ɛ t s n ɪ ɛ r u l ɑ d
მეცხრე	m ɛ t s x r ɛ
მეჭეჭი	m ɛ t ʃʼ ɛ t ʃʼ i
მეხუთე	m ɛ x u tʰ ɛ
მზა	m z ɑ
მზეს	m z ɛ s
მზიანი	m z ɪ ɑ n ɪ
მზის	m z ɪ s
მზრუნველობა	m z r u n v ɛ l ɔ b ɑ
მთავარი	m tʰ ɑ v ɑ r i
მთავრობა	m tʰ ɑ v r ɔ b ɑ
მთავრობამ	m tʰ ɑ v r ɔ b ɑ m
მთავრობას	m tʰ ɑ v r ɔ b ɑ s
მთავრობის	m tʰ ɑ v r ɔ b ɪ s
მთამსვლელი	m tʰ ɑ m s v l ɛ l ɪ
მთელი	m tʰ ɛ l i
მთვარე	m tʰ v ɑ r ɛ
მთვარის	m tʰ v ɑ r ɪ s
მთის	m tʰ i s
მთლიანად	m tʰ l i ɑ n ɑ d
მთლიანი	m tʰ l i ɑ n i
მთლიანობა	m tʰ l i ɑ n ɔ b ɑ
მიგნება	m ɪ ɡ n ɛ b ɑ
მიდიოდა	m ɪ d ɪ ɔ d ɑ
მიდის	m i d i s
მიერ	m ɪ ɛ r
მივდივარ	m ɪ v d ɪ v ɑ r
მივდიოდი	m ɪ v d ɪ ɔ d ɪ
მიზანი	m i z ɑ n i
მიზეზი	m i z ɛ z i
მითითება	m ɪ tʰ ɪ tʰ ɛ b ɑ
მითითებამ	m ɪ tʰ ɪ tʰ ɛ b ɑ m
მითითებას	m ɪ tʰ ɪ tʰ ɛ b ɑ s
მითითებით	m ɪ tʰ ɪ tʰ ɛ b ɪ tʰ
მიიღებს	m ɪ ɪ ʁ ɛ b s
მილიონერი	m ɪ l ɪ ɔ n ɛ r ɪ
მიმართ	m ɪ m ɑ r tʰ
მიმართულება	m ɪ m ɑ r tʰ u l ɛ b ɑ
მიმდინარე	m ɪ m d ɪ n ɑ r ɛ
მიმზიდველობა	m i m z i d v ɛ l ɔ b ɑ
მიმი	m ɪ m ɪ
მინდა	m ɪ n d ɑ
მინდია	m ɪ n d ɪ ɑ
მინერალური	m ɪ n ɛ r ɑ l u r ɪ
მინიატურა	m ɪ n ɪ ɑ tʼ u r ɑ
მინიმალურად	m ɪ n ɪ m ɑ l u r ɑ d
მინიმალური	m ɪ n ɪ m ɑ l u r ɪ
მინისებრი	m ɪ n ɪ s ɛ b r ɪ
მინისტრი	m i n i s tʼ r i
მინიშნება	m ɪ n ɪ ʃ n ɛ b ɑ
მინსკი	m ɪ n s kʼ ɪ
მინუსი	m ɪ n u s ɪ
მირანდა	m ɪ r ɑ n d ɑ
მის	m ɪ s
მისაღებად	m ɪ s ɑ ʁ ɛ b ɑ d
მისი	m i s i
მისცემს	m i s t s ɛ m s
მიუნხენი	m ɪ u n χ ɛ n ɪ
მიღება	m ɪ ʁ ɛ b ɑ
მიღებული	m ɪ ʁ ɛ b u l ɪ
მიღმა	m ɪ ʁ m ɑ
მიღწევა	m ɪ ʁ t sʼ ɛ v ɑ
მიყვარხარ	m i qʼ v ɑ r x ɑ r
მიშა	m i ʃ ɑ
მიშამ	m ɪ ʃ ɑ m
მიშას	m ɪ ʃ ɑ s
მიძღვნა	m ɪ d z ʁ v n ɑ
მიწა	m i t sʼ ɑ
მიწისქვეშა	m ɪ t sʼ ɪ s kʰ v ɛ ʃ ɑ
მიწისძვრა	m i t sʼ i s d z v r ɑ
მიწურული	m ɪ t sʼ u r u l ɪ
მიხარია	m ɪ χ ɑ r ɪ ɑ
მიხედვით	m ɪ χ ɛ d v ɪ tʰ
მიხეილ	m i x ɛ i l
მიხეილი	m i x ɛ i l i
მკაფიო	m kʼ ɑ pʰ ɪ ɔ
მკაფიოდ	m kʼ ɑ pʰ ɪ ɔ d
მკაცრად	m kʼ ɑ t s r ɑ d
მკაცრი	m kʼ ɑ t s r i
მკერდი	m kʼ ɛ r d i
მკვეთრი	m kʼ v ɛ tʰ r i
მკვლევარი	m kʼ v l ɛ v ɑ r ɪ
მკითხველი	m kʼ ɪ tʰ χ v ɛ l ɪ
მკრთალი	m kʼ r tʰ ɑ l ɪ
მკურნალობა	m kʼ u r n ɑ l ɔ b ɑ
მმართველი	m m ɑ r tʰ v ɛ l i
მმართველობა	m m ɑ r tʰ v ɛ l ɔ b ɑ
მმართველობამ	m m ɑ r tʰ v ɛ l ɔ b ɑ m
მმართველობის	m m ɑ r tʰ v ɛ l ɔ b i s
მნიშვნელობა	m n ɪ ʃ v n ɛ l ɔ b ɑ
მნიშვნელოვანი	m n ɪ ʃ v n ɛ l ɔ v ɑ n ɪ
მნიშვნელოვნად	m n ɪ ʃ v n ɛ l ɔ v n ɑ d
მოაზროვნე	m ɔ ɑ z r ɔ v n ɛ
მობილიზაცია	m ɔ b ɪ l ɪ z ɑ t s ɪ ɑ
მოგება	m ɔ ɡ ɛ b ɑ
მოგვიანებით	m ɔ ɡ v ɪ ɑ n ɛ b ɪ tʰ
მოგზაურობა	m ɔ ɡ z ɑ u r ɔ b ɑ
მოგზაურობს	m ɔ ɡ z ɑ u r ɔ b s
მოდელი	m ɔ d ɛ l ɪ
მოდერნიზაცია	m ɔ d ɛ r n ɪ z ɑ t s ɪ ɑ
მოდი	m ɔ d ɪ
მოდიოდა	m ɔ d i ɔ d ɑ
მოდის	m ɔ d i s
მოდურად	m ɔ d u r ɑ d
მოდური	m ɔ d u r i
მოედანი	m ɔ ɛ d ɑ n i
მოვა	m ɔ v ɑ
მოვალეობა	m ɔ v ɑ l ɛ ɔ b ɑ
მოვიდა	m ɔ v i d ɑ
მოვლენა	m ɔ v l ɛ n ɑ
მოთმინება	m ɔ tʰ m i n ɛ b ɑ
მოთხოვნა	m ɔ tʰ χ ɔ v n ɑ
მოთხრობა	m ɔ tʰ x r ɔ b ɑ
მოკავშირე	m ɔ kʼ ɑ v ʃ i r ɛ
მოკვლა	m ɔ kʼ v l ɑ
მოკლავს	m ɔ kʼ l ɑ v s
მოკლე	m ɔ kʼ l ɛ
მოკლედ	m ɔ kʼ l ɛ d
მოკლევადიანი	m ɔ kʼ l ɛ v ɑ d i ɑ n i
მოკრივე	m ɔ kʼ r ɪ v ɛ
მოკრძალებულად	m ɔ kʼ r d z ɑ l ɛ b u l ɑ d
მოლარე	m ɔ l ɑ r ɛ
მოლდოვა	m ɔ l d ɔ v ɑ
მოლეკულა	m ɔ l ɛ kʼ u l ɑ
მოლოდინი	m ɔ l ɔ d i n i
მომავალი	m ɔ m ɑ v ɑ l ɪ
მომავალში	m ɔ m ɑ v ɑ l ʃ ɪ
მომდევნო	m ɔ m d ɛ v n ɔ
მომენტი	m ɔ m ɛ n tʼ ɪ
მომღერალი	m ɔ m ʁ ɛ r ɑ l ɪ
მომხიბლავი	m ɔ m x i b l ɑ v i
მომხმარებელი	m ɔ m χ m ɑ r ɛ b ɛ l ɪ
მონა	m ɔ n ɑ
მონარქიული	m ɔ n ɑ r kʰ ɪ u l ɪ
მონაცემები	m ɔ n ɑ t s ɛ m ɛ b i
მონიკა	m ɔ n ɪ kʼ ɑ
მონოგრაფია	m ɔ n ɔ ɡ r ɑ pʰ ɪ ɑ
მონტაჟი	m ɔ n tʼ ɑ ʒ i
მორალი	m ɔ r ɑ l ɪ
მორალურად	m ɔ r ɑ l u r ɑ d
მორატორიუმი	m ɔ r ɑ tʼ ɔ r ɪ u m ɪ
მორგი	m ɔ r ɡ ɪ
მორცხვი	m ɔ r t s x v i
მორწმუნე	m ɔ r t sʼ m u n ɛ
მოსავალი	m ɔ s ɑ v ɑ l ɪ
მოსამსახურე	m ɔ s ɑ m s ɑ x u r ɛ
მოსახლეობა	m ɔ s ɑ x l ɛ ɔ b ɑ
მოსახლეობამ	m ɔ s ɑ χ l ɛ ɔ b ɑ m
მოსახლეობას	m ɔ s ɑ χ l ɛ ɔ b ɑ s
მოსახლეობის	m ɔ s ɑ χ l ɛ ɔ b ɪ s
მოსკოვი	m ɔ s kʼ ɔ v ɪ
მოსკოვის	m ɔ s kʼ ɔ v ɪ s
მოსკოვმა	m ɔ s kʼ ɔ v m ɑ
მოსკოვს	m ɔ s kʼ ɔ v s
მოსწავლე	m ɔ s t sʼ ɑ v l ɛ
მოტივაცია	m ɔ tʼ ɪ v ɑ t s ɪ ɑ
მოტივი	m ɔ tʼ ɪ v ɪ
მოტოციკლი	m ɔ tʼ ɔ t s ɪ kʼ l ɪ
მოუთმენლად	m ɔ u tʰ m ɛ n l ɑ d
მოულოდნელად	m ɔ u l ɔ d n ɛ l ɑ d
მოულოდნელობა	m ɔ u l ɔ d n ɛ l ɔ b ɑ
მოქალაქე	m ɔ kʰ ɑ l ɑ kʰ ɛ
მოქალაქეობა	m ɔ kʰ ɑ l ɑ kʰ ɛ ɔ b ɑ
მოქანდაკე	m ɔ kʰ ɑ n d ɑ kʼ ɛ
მოქნილად	m ɔ kʰ n i l ɑ d
მოღვაწე	m ɔ ʁ v ɑ t sʼ ɛ
მოღვაწეობა	m ɔ ʁ v ɑ t sʼ ɛ ɔ b ɑ
მოშორებით	m ɔ ʃ ɔ r ɛ b ɪ tʰ
მოციქული	m ɔ t s i kʰ u l i
მოცურავე	m ɔ t s u r ɑ v ɛ
მოწინავე	m ɔ t sʼ i n ɑ v ɛ
მოწიწებით	m ɔ t sʼ ɪ t sʼ ɛ b ɪ tʰ
მოწმე	m ɔ t sʼ m ɛ
მოწმობა	m ɔ t sʼ m ɔ b ɑ
მოწოდება	m ɔ t sʼ ɔ d ɛ b ɑ
მოწყობილობა	m ɔ t sʼ qʼ ɔ b ɪ l ɔ b ɑ
მოხელე	m ɔ x ɛ l ɛ
მოხერხებული	m ɔ x ɛ r x ɛ b u l i
მოხსენება	m ɔ χ s ɛ n ɛ b ɑ
მოხუცი	m ɔ x u t s i
მრავალი	m r ɑ v ɑ l i
მრავალჯერადი	m r ɑ v ɑ l d ʒ ɛ r ɑ d ɪ
მრავლობითი	m r ɑ v l ɔ b i tʰ i
მრგვალი	m r ɡ v ɑ l i
მრეწველობა	m r ɛ t sʼ v ɛ l ɔ b ɑ
მრისხანედ	m r ɪ s χ ɑ n ɛ d
მსახიობი	m s ɑ χ ɪ ɔ b ɪ
მსგავსად	m s ɡ ɑ v s ɑ d
მსგავსი	m s ɡ ɑ v s ɪ
მსოფლიომ	m s ɔ pʰ l ɪ ɔ m
მსოფლიოს	m s ɔ pʰ l ɪ ɔ s
მსროლელი	m s r ɔ l ɛ l ɪ
მსუბუქად	m s u b u kʰ ɑ d
მსხვერპლი	m s χ v ɛ r pʼ l ɪ
მსხვილი	m s x v i l i
მსჯელობა	m s d ʒ ɛ l ɔ b ɑ
მტაცებლური	m tʼ ɑ t s ɛ b l u r ɪ
მტერი	m tʼ ɛ r i
მტკვარი	m tʼ kʼ v ɑ r i
მტკივნეული	m tʼ kʼ i v n ɛ u l i
მტკიცე	m tʼ kʼ i t s ɛ
მტკიცებულება	m tʼ kʼ ɪ t s ɛ b u l ɛ b ɑ
მტკიცედ	m tʼ kʼ i t s ɛ d
მტყუანი	m tʼ qʼ u ɑ n ɪ
მუდამ	m u d ɑ m
მუდმივად	m u d m ɪ v ɑ d
მუზეუმი	m u z ɛ u m ɪ
მუნიანი	m u n ɪ ɑ n ɪ
მუნიციპალიტეტი	m u n ɪ t s ɪ pʼ ɑ l ɪ tʼ ɛ tʼ ɪ
მუნიციპალიტეტის	m u n ɪ t s ɪ pʼ ɑ l ɪ tʼ ɛ tʼ ɪ s
მუნიციპალიტეტმა	m u n ɪ t s ɪ pʼ ɑ l ɪ tʼ ɛ tʼ m ɑ
მუნიციპალიტეტს	m u n ɪ t s ɪ pʼ ɑ l ɪ tʼ ɛ tʼ s
მუნიციპალური	m u n ɪ t s ɪ pʼ ɑ l u r ɪ
მუნჯი	m u n d ʒ i
მუსიკალურად	m u s ɪ kʼ ɑ l u r ɑ d
მუსიკალური	m u s ɪ kʼ ɑ l u r ɪ
მუსიკას	m u s ɪ kʼ ɑ s
მუსიკით	m u s ɪ kʼ ɪ tʰ
მუსიკის	m u s ɪ kʼ ɪ s
მუსიკოსი	m u s ɪ kʼ ɔ s ɪ
მუქარით	m u kʰ ɑ r ɪ tʰ
მუშა	m u ʃ ɑ
მუშაობა	m u ʃ ɑ ɔ b ɑ
მუხლი	m u x l i
მქონდა	m kʰ ɔ n d ɑ
მღვრიე	m ʁ v r ɪ ɛ
მყარად	m qʼ ɑ r ɑ d
მყარი	m qʼ ɑ r i
მყისიერი	m qʼ ɪ s ɪ ɛ r ɪ
მყოფი	m qʼ ɔ pʰ ɪ
მყუდრო	m qʼ u d r ɔ
მშენებლობა	m ʃ ɛ n ɛ b l ɔ b ɑ
მშვენიერი	m ʃ v ɛ n i ɛ r i
მშვენივრად	m ʃ v ɛ n ɪ v r ɑ d
მშვიდად	m ʃ v ɪ d ɑ d
მშვიდი	m ʃ v i d i
მშვიდობა	m ʃ v i d ɔ b ɑ
მშვიდობიანად	m ʃ v ɪ d ɔ b ɪ ɑ n ɑ d
მშვიდობიანი	m ʃ v ɪ d ɔ b ɪ ɑ n ɪ
მშვიდობით	m ʃ v i d ɔ b i tʰ
მშობელი	m ʃ ɔ b ɛ l i
მშობიარობა	m ʃ ɔ b ɪ ɑ r ɔ b ɑ
მშობლიური	m ʃ ɔ b l ɪ u r ɪ
მშრალად	m ʃ r ɑ l ɑ d
მშრალი	m ʃ r ɑ l i
მცდარი	m t s d ɑ r i
მცდელობა	m t s d ɛ l ɔ b ɑ
მცენარე	m t s ɛ n ɑ r ɛ
მცირე	m t s i r ɛ
მცოდნე	m t s ɔ d n ɛ
მძიმე	m d z i m ɛ
მძინარე	m d z ɪ n ɑ r ɛ
მძულვარება	m d z u l v ɑ r ɛ b ɑ
მძღოლი	m d z ʁ ɔ l ɪ
მწარე	m t sʼ ɑ r ɛ
მწვავე	m t sʼ v ɑ v ɛ
მწვავედ	m t sʼ v ɑ v ɛ d
მწვანე	m t sʼ v ɑ n ɛ
მწვანილი	m t sʼ v ɑ n ɪ l ɪ
მწვრთნელი	m t sʼ v r tʰ n ɛ l i
მწირი	m t sʼ i r i
მწყემსი	m t sʼ qʼ ɛ m s ɪ
მჭედლიშვილი	m t ʃʼ ɛ d l i ʃ v i l i
მჭიდრო	m t ʃʼ i d r ɔ
მჭიდროდ	m t ʃʼ ɪ d r ɔ d
მხარე	m x ɑ r ɛ
მხარემ	m χ ɑ r ɛ m
მხარეს	m χ ɑ r ɛ s
მხარი	m x ɑ r i
მხარით	m χ ɑ r ɪ tʰ
მხარის	m χ ɑ r ɪ s
მხატვარი	m χ ɑ tʼ v ɑ r ɪ
მხდალი	m x d ɑ l i
მხედველობა	m χ ɛ d v ɛ l ɔ b ɑ
მხიარული	m x i ɑ r u l i
მხნედ	m χ n ɛ d
მხოლოდ	m x ɔ l ɔ d
მხურვალედ	m χ u r v ɑ l ɛ d
მჯდომარე	m d ʒ d ɔ m ɑ r ɛ
ნაადრევი	n ɑ ɑ d r ɛ v i
ნაბიჭვარი	n ɑ b ɪ t ʃʼ v ɑ r ɪ
ნაბიჯი	n ɑ b i d ʒ i
ნაგებობა	n ɑ ɡ ɛ b ɔ b ɑ
ნავთობი	n ɑ v tʰ ɔ b ɪ
ნავი	n ɑ v ɪ
ნათელა	n ɑ tʰ ɛ l ɑ
ნათესავი	n ɑ tʰ ɛ s ɑ v ɪ
ნათია	n ɑ tʰ i ɑ
ნათლად	n ɑ tʰ l ɑ d
ნაირა	n ɑ ɪ r ɑ
ნაკადი	n ɑ kʼ ɑ d i
ნაკერი	n ɑ kʼ ɛ r i
ნაკლებად	n ɑ kʼ l ɛ b ɑ d
ნაკლები	n ɑ kʼ l ɛ b i
ნაკლებობა	n ɑ kʼ l ɛ b ɔ b ɑ
ნაკლი	n ɑ kʼ l i
ნაკრები	n ɑ kʼ r ɛ b ɪ
ნამდვილად	n ɑ m d v i l ɑ d
ნამდვილი	n ɑ m d v i l i
ნამდვილობა	n ɑ m d v i l ɔ b ɑ
ნანახი	n ɑ n ɑ χ ɪ
ნაპირზე	n ɑ pʼ ɪ r z ɛ
ნაპირისკენ	n ɑ pʼ ɪ r ɪ s kʼ ɛ n
ნაპრალი	n ɑ pʼ r ɑ l ɪ
ნარგიზი	n ɑ r ɡ i z i
ნარინჯისფერი	n ɑ r i n d ʒ i s pʰ ɛ r i
ნარკოტიკი	n ɑ r kʼ ɔ tʼ i kʼ i
ნარკოტიკული	n ɑ r kʼ ɔ tʼ ɪ kʼ u l ɪ
ნარჩენი	n ɑ r t ʃ ɛ n ɪ
ნატეხი	n ɑ tʼ ɛ x i
ნაღდად	n ɑ ʁ d ɑ d
ნაღდი	n ɑ ʁ d ɪ
ნაყინი	n ɑ qʼ i n i
ნაყოფი	n ɑ qʼ ɔ pʰ i
ნაყოფიერად	n ɑ qʼ ɔ pʰ ɪ ɛ r ɑ d
ნაყოფიერი	n ɑ qʼ ɔ pʰ i ɛ r i
ნაშიერი	n ɑ ʃ i ɛ r i
ნაჩქარევად	n ɑ t ʃ kʰ ɑ r ɛ v ɑ d
ნაჩქარევი	n ɑ t ʃ kʰ ɑ r ɛ v ɪ
ნაცვლად	n ɑ t s v l ɑ d
ნაციონალი	n ɑ t s i ɔ n ɑ l i
ნაცისტური	n ɑ t s ɪ s tʼ u r ɪ
ნაცნობი	n ɑ t s n ɔ b i
ნაცრისფერი	n ɑ t s r i s pʰ ɛ r i
ნაძვი	n ɑ d z v i
ნაძირალა	n ɑ d z ɪ r ɑ l ɑ
ნაწარმი	n ɑ t sʼ ɑ r m ɪ
ნაწილობრივ	n ɑ t sʼ ɪ l ɔ b r ɪ v
ნაწილობრივი	n ɑ t sʼ ɪ l ɔ b r ɪ v ɪ
ნაჭუჭი	n ɑ t ʃʼ u t ʃʼ ɪ
ნახავს	n ɑ x ɑ v s
ნახევარი	n ɑ x ɛ v ɑ r i
ნახევარკუნძული	n ɑ x ɛ v ɑ r kʼ u n d z u l i
ნახევრად	n ɑ x ɛ v r ɑ d
ნაჯახი	n ɑ d ʒ ɑ x i
ნგრევა	n ɡ r ɛ v ɑ
ნდობა	n d ɔ b ɑ
ნდობით	n d ɔ b i tʰ
ნება	n ɛ b ɑ
ნებისმიერი	n ɛ b i s m i ɛ r i
ნედლი	n ɛ d l i
ნეიტრალიტეტი	n ɛ i tʼ r ɑ l i tʼ ɛ tʼ i
ნეიტრალური	n ɛ ɪ tʼ r ɑ l u r ɪ
ნელი	n ɛ l i
ნერვიულად	n ɛ r v i u l ɑ d
ნერვიულობა	n ɛ r v i u l ɔ b ɑ
ნერვული	n ɛ r v u l i
ნიგვზიანი	n ɪ ɡ v z ɪ ɑ n ɪ
ნიგოზი	n i ɡ ɔ z i
ნივთიერება	n i v tʰ i ɛ r ɛ b ɑ
ნიკოლოზ	n i kʼ ɔ l ɔ z
ნიმუში	n ɪ m u ʃ ɪ
ნიორი	n ɪ ɔ r ɪ
ნიუანსი	n ɪ u ɑ n s ɪ
ნიშანი	n i ʃ ɑ n i
ნიშნავს	n ɪ ʃ n ɑ v s
ნიჭი	n i t ʃʼ i
ნიჭიერი	n i t ʃʼ i ɛ r i
ნოემბერი	n ɔ ɛ m b ɛ r i
ნოვატორი	n ɔ v ɑ tʼ ɔ r ɪ
ნომერი	n ɔ m ɛ r i
ნომინალური	n ɔ m ɪ n ɑ l u r ɪ
ნომინაცია	n ɔ m ɪ n ɑ t s ɪ ɑ
ნორვეგია	n ɔ r v ɛ ɡ i ɑ
ნორმალურად	n ɔ r m ɑ l u r ɑ d
ნორმალური	n ɔ r m ɑ l u r i
ნოსტალგია	n ɔ s tʼ ɑ l ɡ ɪ ɑ
ნოტიო	n ɔ tʼ ɪ ɔ
ნუგეში	n u ɡ ɛ ʃ i
ნუთუ	n u tʰ u
ნულოვანი	n u l ɔ v ɑ n ɪ
ნუღარ	n u ʁ ɑ r
ობიექტი	ɔ b ɪ ɛ kʰ tʼ ɪ
ობიექტური	ɔ b i ɛ kʰ tʼ u r i
ობიექტურობა	ɔ b i ɛ kʰ tʼ u r ɔ b ɑ
ოდესმე	ɔ d ɛ s m ɛ
ოდისეა	ɔ d ɪ s ɛ ɑ
ოდნავ	ɔ d n ɑ v
ოზურგეთი	ɔ z u r ɡ ɛ tʰ i
ოთახი	ɔ tʰ ɑ χ ɪ
ოთხი	ɔ tʰ x i
ოთხმხრივი	ɔ tʰ χ m χ r ɪ v ɪ
ოთხფეხი	ɔ tʰ χ pʰ ɛ χ ɪ
ოკუპირებული	ɔ kʼ u pʼ i r ɛ b u l i
ოლიმპიადა	ɔ l ɪ m pʼ ɪ ɑ d ɑ
ოლიმპიური	ɔ l ɪ m pʼ ɪ u r ɪ
ომბუდსმენი	ɔ m b u d s m ɛ n ɪ
ომით	ɔ m ɪ tʰ
ომის	ɔ m ɪ s
ომს	ɔ m s
ოპერა	ɔ pʼ ɛ r ɑ
ოპერატორი	ɔ pʼ ɛ r ɑ tʼ ɔ r i
ოპოზიცია	ɔ pʼ ɔ z ɪ t s ɪ ɑ
ოპონენტი	ɔ pʼ ɔ n ɛ n tʼ i
ორაზროვანი	ɔ r ɑ z r ɔ v ɑ n i
ორგანიზატორი	ɔ r ɡ ɑ n ɪ z ɑ tʼ ɔ r ɪ
ორგანიზმი	ɔ r ɡ ɑ n ɪ z m ɪ
